year,sex,n,n_miss,age_mean,age_sd,cod
2009,M,5849,1,41.10328317373461,13.001819457756127,natural
2010,All,10943,1,42.43803692195211,13.11016328702284,natural
2010,F,4340,0,44.769124423963135,13.03964793327413,natural
2010,M,6603,1,40.9056346561648,12.930320352768037,natural
2011,All,11693,2,42.80386622188008,13.097735081457946,natural
2011,F,4789,0,45.08456880350804,12.856452742364885,natural
2011,M,6904,2,41.221385105766444,13.030966004007272,natural
2012,All,11140,0,43.8205565529623,13.105058280015484,natural
2012,F,4845,0,45.89576883384933,12.757944394842534,natural
2012,M,6295,0,42.22335186656076,13.145817382760383,natural
2013,All,11346,2,44.609485190409025,13.296614849114507,natural
2013,F,4916,0,46.826484947111474,12.76536029777541,natural
2013,M,6430,2,42.91397013067828,13.44548215677794,natural
2014,All,12159,1,45.249958874814936,13.244362052615381,natural
2014,F,5427,0,47.448866777224985,12.849870026569144,natural
2014,M,6732,1,43.47704650126281,13.29269986833617,natural
2015,All,12727,1,45.088165959453086,13.317908464833376,natural
2015,F,5610,1,46.95257621679444,12.87816956314119,natural
2015,M,7117,0,43.618800056203455,13.474815706071917,natural
2016,All,14487,1,44.58615214690045,13.642372371755089,natural
2016,F,6070,0,46.81103789126853,13.232824297792284,natural
2016,M,8417,1,42.981463878327,13.70870500063436,natural
0,All,64685,8,41.25696924718215,12.702226002268706,synth
0,F,24630,3,43.96170869371016,12.879507210032745,synth
0,M,40055,5,39.59380774032459,12.300293188482877,synth
1999,All,730,0,43.13835616438356,12.001201701797998,synth
1999,F,330,0,45.25757575757576,11.86769849892626,synth
1999,M,400,0,41.39,11.842233583264669,synth
2e3,All,782,0,43.62020460358056,12.221504565221304,synth
2e3,F,374,0,46.13101604278075,12.59671221987754,synth
2e3,M,408,0,41.318627450980394,11.405910191680006,synth
2001,All,957,1,42.95502092050209,11.944595741761917,synth
2001,F,447,0,44.80089485458613,11.74841651786573,synth
2001,M,510,1,41.33398821218075,11.891340560369779,synth
2002,All,1295,1,42.57264296754251,12.151934258972009,synth
2002,F,614,0,45.395765472312704,12.555055200079572,synth
2002,M,681,1,40.023529411764706,11.188413395096559,synth
2003,All,1400,0,42.13928571428571,12.089310234005685,synth
2003,F,643,0,44.5443234836703,12.478859804727216,synth
2003,M,757,0,40.09643328929987,11.363053955616666,synth
2004,All,1664,0,42.63882211538461,11.92757085651513,synth
2004,F,798,0,45.68546365914787,11.84932862788229,synth
2004,M,866,0,39.83140877598152,11.300078555217933,synth
2005,All,1742,0,42.93340987370838,12.566703714306497,synth
2005,F,823,0,45.91494532199271,12.50849084724434,synth
2005,M,919,0,40.26332970620239,12.012261084074042,synth
2006,All,2707,0,41.40044329516069,12.442119051225372,synth
2006,F,1030,0,44.310679611650485,12.535065782565628,synth
2006,M,1677,0,39.61299940369708,12.044563153517403,synth
2007,All,2213,0,42.710799819249885,12.939435214600318,synth
2007,F,1053,0,45.82431149097816,12.691892026741742,synth
2007,M,1160,0,39.88448275862069,12.511203631075466,synth
2008,All,2306,0,43.038161318300084,12.34891586842241,synth
2008,F,1083,0,45.61680517082179,11.836766171828929,synth
2008,M,1223,0,40.75470155355683,12.348141735070259,synth
2009,All,2946,1,44.08760611205433,12.669199931724792,synth
2009,F,1445,1,46.98407202216067,12.309212998428691,synth
2009,M,1501,0,41.30113257828115,12.386279723269515,synth
2010,All,3007,1,43.25615435795076,13.061212103480427,synth
2010,F,1440,0,45.87083333333333,12.859911663987424,synth
2010,M,1567,1,40.851851851851855,12.783866370545141,synth
2011,All,2666,0,43.14816204051013,13.163718345254026,synth
2011,F,1247,0,45.25100240577386,12.432560814913684,synth
2011,M,1419,0,41.300211416490484,13.510903237838626,synth
2012,All,2628,0,43.9261796042618,13.065494571528465,synth
2012,F,1195,0,46.40418410041841,12.53870988021559,synth
2012,M,1433,0,41.85973482205164,13.140591476148977,synth
2013,All,3105,0,43.78486312399356,13.160540841248059,synth
2013,F,1431,0,46.524109014675055,12.508316624650707,synth
2013,M,1674,0,41.443249701314215,13.255526060576873,synth
2014,All,5544,0,41.07756132756133,12.93721672216147,synth
2014,F,2079,0,43.97017797017797,13.318778869139573,synth
2014,M,3465,0,39.34199134199134,12.384474704275853,synth
2015,All,9580,1,39.659254619480116,12.600921916533943,synth
2015,F,3020,1,41.88009274594236,13.091190001577358,synth
2015,M,6560,0,38.63719512195122,12.235059462103269,synth
2016,All,19413,3,39.264811952601754,12.285588836439853,synth
2016,F,5578,1,40.55388201542048,12.847089745574324,synth
2016,M,13835,2,38.745102291621485,12.013226608788196,synth
0,All,573675,197,42.233093510125926,19.318466942431556,firearm
0,F,79943,20,42.38851144226318,17.623346998813396,firearm
0,M,493732,177,42.207926168309505,19.579061901589334,firearm
1999,All,28972,20,40.499378281293176,19.413275654170164,firearm
1999,F,4174,1,39.954469206805655,17.546577852421393,firearm
1999,M,24798,19,40.59114572823762,19.7091029910654,firearm
2e3,All,28752,18,40.8511519454305,19.317259719034165,firearm
2e3,F,4083,5,41.045120156939674,17.405702337198164,firearm
2e3,M,24669,13,40.81907040882544,19.615618658602024,firearm
2001,All,29643,19,41.01097083445855,19.25213098935294,firearm
2001,F,4096,1,41.36043956043956,17.475085141025055,firearm
2001,M,25547,18,40.95491401935054,19.52186528350849,firearm
2002,All,30325,15,41.162916529198284,19.18208730724138,firearm
2002,F,4147,1,40.70067534973468,17.342178500781305,firearm
2002,M,26178,14,41.23616419507721,19.456978358894542,firearm
2003,All,30212,18,41.11412863482811,19.05345039282308,firearm
2003,F,4012,2,41.70399002493765,17.29901970787593,firearm
2003,M,26200,16,41.023793156125876,19.30677901357813,firearm
2004,All,29626,27,41.40156762052772,19.0840790545004,firearm
2004,F,4071,1,42.0019656019656,17.301200167161177,firearm
2004,M,25555,26,41.305848251008655,19.351735217824313,firearm
2005,All,30773,10,41.32136007541527,19.166814675605337,firearm
2005,F,4038,3,41.933085501858734,17.396182123538907,firearm
2005,M,26735,7,41.229010775217,19.418725160464422,firearm
2006,All,30966,9,40.988435571922345,19.062295319650307,firearm
2006,F,4184,0,41.758843212237096,17.17463613637048,firearm
2006,M,26782,9,40.86803869570089,19.338176420257977,firearm
2007,All,31281,11,41.422961304764954,19.059401844639954,firearm
2007,F,4177,0,41.78525257361743,17.30056287951131,firearm
2007,M,27104,11,41.367105894511496,19.316014073915934,firearm
2008,All,31644,4,42.13846396965866,19.194640482389246,firearm
